RT,Idiom_lang,relatedness,lang_group,subj
0.67440701,EN-idiom,Control,Monolingual,91
0.816041665,EN-idiom,Control,Monolingual,92
0.656770897,EN-idiom,Control,Monolingual,93
0.784913799,EN-idiom,Control,Monolingual,94
0.885088744,EN-idiom,Control,Monolingual,95
0.701235633,EN-idiom,Control,Monolingual,96
0.632800863,EN-idiom,Control,Monolingual,97
0.646898674,EN-idiom,Control,Monolingual,98
0.823779252,EN-idiom,Control,Monolingual,99
0.634063641,EN-idiom,Control,Monolingual,100
0.679819167,EN-idiom,Control,Monolingual,101
0.932996446,EN-idiom,Control,Monolingual,102
0.644664753,EN-idiom,Control,Monolingual,103
0.624712989,EN-idiom,Control,Monolingual,104
0.665914252,EN-idiom,Control,Monolingual,105
0.702962704,EN-idiom,Control,Monolingual,106
0.694190926,EN-idiom,Control,Monolingual,107
0.637064066,EN-idiom,Control,Monolingual,108
0.692724427,EN-idiom,Control,Monolingual,109
0.64166691,EN-idiom,Control,Monolingual,110
0.586510537,EN-idiom,Control,Monolingual,111
0.718308173,EN-idiom,Control,Monolingual,112
0.649435122,EN-idiom,Control,Monolingual,113
0.500697148,EN-idiom,Control,Monolingual,114
0.90413096,EN-idiom,Control,Monolingual,115
0.578291579,EN-idiom,Control,Monolingual,116
0.712450719,EN-idiom,Exp,Bilingual,1
0.654297559,EN-idiom,Exp,Bilingual,2
0.688889379,EN-idiom,Exp,Bilingual,3
0.747852737,EN-idiom,Exp,Bilingual,4
1.153887261,EN-idiom,Exp,Bilingual,5
0.592557597,EN-idiom,Exp,Bilingual,6
0.919049354,EN-idiom,Exp,Bilingual,7
0.567250241,EN-idiom,Exp,Bilingual,8
0.517173236,EN-idiom,Exp,Bilingual,9
0.80055106,EN-idiom,Exp,Bilingual,10
0.685162455,EN-idiom,Exp,Bilingual,11
0.604034424,EN-idiom,Exp,Bilingual,12
0.65302487,EN-idiom,Exp,Bilingual,13
0.695474656,EN-idiom,Exp,Bilingual,14
1.410434284,EN-idiom,Exp,Bilingual,15
0.712485635,EN-idiom,Exp,Bilingual,16
0.672464468,EN-idiom,Exp,Bilingual,17
0.784238634,EN-idiom,Exp,Bilingual,18
0.745051295,EN-idiom,Exp,Bilingual,19
0.751556079,EN-idiom,Exp,Bilingual,20
0.601271712,EN-idiom,Exp,Bilingual,21
